position,q1,q2,q3,year,Grand Prix
1,1:26.572,1:25.187,1:26.714,2008,Australian Grand Prix
4,1:35.392,1:34.627,1:36.709,2008,Malaysian Grand Prix
3,1:32.750,1:31.922,1:33.292,2008,Bahrain Grand Prix
5,1:21.366,1:20.825,1:22.096,2008,Spanish Grand Prix
3,1:26.192,1:26.477,1:27.923,2008,Turkish Grand Prix
3,1:15.582,1:15.322,1:15.839,2008,Monaco Grand Prix
1,1:16.909,1:17.034,1:17.886,2008,Canadian Grand Prix
3,1:15.634,1:15.293,1:16.693,2008,French Grand Prix
4,1:20.288,1:19.537,1:21.835,2008,British Grand Prix
1,1:15.218,1:14.603,1:15.666,2008,German Grand Prix
1,1:19.376,1:19.473,1:20.899,2008,Hungarian Grand Prix
2,1:38.464,1:37.954,1:39.199,2008,European Grand Prix
1,1:46.887,1:46.088,1:47.338,2008,Belgian Grand Prix
15,1:35.394,1:39.265,\N,2008,Italian Grand Prix
2,1:44.501,1:44.932,1:45.465,2008,Singapore Grand Prix
1,1:18.071,1:17.462,1:18.404,2008,Japanese Grand Prix
1,1:35.566,1:34.947,1:36.303,2008,Chinese Grand Prix
4,1:12.213,1:11.856,1:12.830,2008,Brazilian Grand Prix
4,1:26.674,1:25.577,1:26.755,2007,Australian Grand Prix
4,1:35.028,1:34.650,1:36.045,2007,Malaysian Grand Prix
2,1:32.580,1:31.752,1:32.935,2007,Bahrain Grand Prix
4,1:21.120,1:20.713,1:21.785,2007,Spanish Grand Prix
2,1:15.685,1:15.479,1:15.905,2007,Monaco Grand Prix
1,1:16.576,1:15.486,1:15.707,2007,Canadian Grand Prix
1,1:12.563,1:12.065,1:12.331,2007,United States Grand Prix
2,1:14.805,1:14.795,1:15.104,2007,French Grand Prix
1,1:19.885,1:19.400,1:19.997,2007,British Grand Prix
10,1:31.587,1:31.185,1:33.833,2007,European Grand Prix
2,1:19.570,1:19.301,1:19.781,2007,Hungarian Grand Prix
2,1:27.513,1:26.936,1:27.373,2007,Turkish Grand Prix
2,1:21.956,1:21.746,1:22.034,2007,Italian Grand Prix
4,1:46.437,1:45.132,1:46.406,2007,Belgian Grand Prix
1,1:25.489,1:24.753,1:25.368,2007,Japanese Grand Prix
1,1:35.798,1:35.898,1:35.908,2007,Chinese Grand Prix
2,1:13.033,1:12.296,1:12.082,2007,Brazilian Grand Prix
15,1:26.454,\N,\N,2009,Australian Grand Prix
13,1:35.280,1:34.905,\N,2009,Malaysian Grand Prix
9,1:35.776,1:35.740,1:38.595,2009,Chinese Grand Prix
5,1:32.851,1:32.877,1:34.196,2009,Bahrain Grand Prix
14,1:20.991,1:20.805,\N,2009,Spanish Grand Prix
16,1:16.264,\N,\N,2009,Monaco Grand Prix
16,1:28.318,\N,\N,2009,Turkish Grand Prix
19,1:19.917,\N,\N,2009,British Grand Prix
5,1:31.473,1:39.149,1:32.616,2009,German Grand Prix
4,1:20.842,1:20.465,1:21.839,2009,Hungarian Grand Prix
1,1:38.649,1:38.182,1:39.489,2009,European Grand Prix
12,1:45.767,1:45.122,\N,2009,Belgian Grand Prix
1,1:23.375,1:22.973,1:24.066,2009,Italian Grand Prix
1,1:46.977,1:46.657,1:47.891,2009,Singapore Grand Prix
3,1:30.917,1:30.627,1:32.395,2009,Japanese Grand Prix
18,1:25.192,\N,\N,2009,Brazilian Grand Prix
1,1:39.873,1:39.695,1:40.948,2009,Abu Dhabi Grand Prix
4,1:55.341,1:54.707,1:55.217,2010,Bahrain Grand Prix
11,1:25.046,1:25.184,\N,2010,Australian Grand Prix
